 Title:, Electrical Test Report -Final
 Page Number:, _PAGE_

 Title:, Test Results Provided By

 Operator:, Test Engineer
 S/N:, retest 4-7
 Final Test Result:, Failed
 Run Number:, 9
 Cable Number:, 1
 Test Date:, 5/30/2024
 Test Time:, 9:03:13 PM
 Retry Count:, 1
 Test Name:, L1_Barrel_Power_F1_Connectivity
 Lot ID:, 

 Title:, Test Parameters

 Wire Resistance:, 10.0 Ohm
 Shorts Test Resistance:, 100 kOhm

 Title:, HV Test Parameters

 DW Voltage:, Off
 IR Voltage:, Off

 Title:, Nets Hipot Status

 Name, Test Method, Measured IR, DW Total Current, DW Real Current

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Expected 2, Measured 2, Instruction Detail
 1, , J1-010,"J1-012, J3-007", , , , , Net NC: SHORT J1-010 to J1-012 J3-007
 2, , J1-014,"J1-016, J1-028, J1-030, J1-032, J1-046", , , , , Net NC: SHORT J1-014 to J1-016 J1-028 J1-030 J1-032 J1-046 J1-048 J7-005 J7-007 J7-059 J7-061 J7-063
 2, , ,"J1-048, J7-005, J7-007, J7-059, J7-061", , , , , 
 2, , , J7-063, , , , , 
 3, , J1-018,"J1-020, J5-031", , , , , Net NC: SHORT J1-018 to J1-020 J5-031
 4, WIRE, J1-020, J1-022, , , , , Net Net2: OPEN J1-020 to J1-022
 5, ,"J1-024, J1-034, J1-036, J1-038, J1-045", , , , , , MISWIRE to J1-024 J1-034 J1-036 J1-038 J1-045 J1-047 J1-049 J1-050 J1-051 J1-052 J1-053 J5-031
 5, ,"J1-047, J1-049, J1-050, J1-051, J1-052", , , , , , 
 5, ,"J1-053, J5-031", , , , , , 
 6, WIRE, J1-016, J1-026, , , , , Net Net1: OPEN J1-016 to J1-026
 7, ,"J1-028, J1-030, J1-032, J1-046, J1-048", , , , , , MISWIRE to J1-028 J1-030 J1-032 J1-046 J1-048 J1-055 J3-026 J5-013 J7-002 J7-005 J7-007 J7-009 J7-038 J7-039 J7-041 J7-059 J7-06
 7, ,"J1-055, J3-026, J5-013, J7-002, J7-005", , , , , , 
 7, ,"J7-007, J7-009, J7-038, J7-039, J7-041", , , , , , 
 7, ,"J7-059, J7-061, J7-063", , , , , , 
 8, , J1-040,"J1-058, J3-004, J5-001, J7-057", , , , , Net NC: SHORT J1-040 to J1-058 J3-004 J5-001 J7-057
 9, , J1-042, J5-027, , , , , Net NC: SHORT J1-042 to J5-027
 10, , J1-044, J5-030, , , , , Net NC: SHORT J1-044 to J5-030
 11, , J1-054, J5-022, , , , , Net NC: SHORT J1-054 to J5-022
 12, , J1-056, J5-006, , , , , Net NC: SHORT J1-056 to J5-006
 13, , J1-057,"J1-059, J1-060, J1-062, J1-064, J3-053", , , , , Net NC: SHORT J1-057 to J1-059 J1-060 J1-062 J1-064 J3-053 J3-054 J3-055 J3-056 J3-057 J3-058 J3-059 J3-061 J5-051 J5-053 J5-054
 13, , ,"J3-054, J3-055, J3-056, J3-057, J3-058", , , , , 
 13, , ,"J3-059, J3-061, J5-051, J5-053, J5-054", , , , , 
 13, , ,"J5-055, J5-056, J5-057, J5-058, J5-059", , , , , 
 13, , ,"J5-060, J5-062, J5-064", , , , , 
 14, , J1-061,"J1-063, J5-014", , , , , Net NC: SHORT J1-061 to J1-063 J5-014
 15, , J3-001,"J3-002, J3-003, J3-005, J3-006, J3-009", , , , , Net NC: SHORT J3-001 to J3-002 J3-003 J3-005 J3-006 J3-009 J3-010 J3-011 J3-012 J3-013 J3-014 J3-016 J3-017 J3-018 J3-019 J3-020
 15, , ,"J3-010, J3-011, J3-012, J3-013, J3-014", , , , , 
 15, , ,"J3-016, J3-017, J3-018, J3-019, J3-020", , , , , 
 15, , ,"J3-021, J3-022, J3-023, J3-024, J3-025", , , , , 
 15, , ,"J3-028, J3-029, J3-032, J3-033, J3-036", , , , , 
 15, , ,"J3-037, J3-038, J3-039, J3-040, J3-041", , , , , 
 15, , ,"J3-042, J3-044, J3-045, J3-047, J3-048", , , , , 
 15, , ,"J3-049, J3-050, J3-051, J3-052, J5-002", , , , , 
 15, , ,"J5-003, J5-004, J5-007, J5-008, J5-009", , , , , 
 15, , ,"J5-010, J5-011, J5-012, J5-015, J5-016", , , , , 
 15, , ,"J5-017, J5-018, J5-019, J5-020, J5-021", , , , , 
 15, , ,"J5-023, J5-024, J5-025, J5-026, J5-028", , , , , 
 15, , ,"J5-029, J5-032, J5-033, J5-034, J5-035", , , , , 
 15, , ,"J5-036, J5-037, J5-040, J5-041, J5-042", , , , , 
 15, , ,"J5-044, J5-045, J5-046, J5-047, J5-048", , , , , 
 15, , ,"J5-049, J5-050, J5-052, J7-040, J7-042", , , , , 
 15, , ,"J7-044, J7-048, J7-050, J7-052", , , , , 
 16, , J3-008,"J5-005, J7-022, J7-025, J7-058", , , , , Net NC: SHORT J3-008 to J5-005 J7-022 J7-025 J7-058
 17, WIRE, J3-015, J3-025, , , , , Net Net3: OPEN J3-015 to J3-025
 18, ,"J3-028, J3-029, J3-032, J3-033, J3-036", , , , , , MISWIRE to J3-028 J3-029 J3-032 J3-033 J3-036 J3-037 J3-038 J3-039 J3-040 J3-041 J3-042 J3-044 J3-045 J3-047 J3-048 J3-049 J3-05
 18, ,"J3-037, J3-038, J3-039, J3-040, J3-041", , , , , , 
 18, ,"J3-042, J3-044, J3-045, J3-047, J3-048", , , , , , 
 18, ,"J3-049, J3-050, J3-051, J3-052, J5-002", , , , , , 
 18, ,"J5-003, J5-004, J5-007, J5-008, J5-009", , , , , , 
 18, ,"J5-010, J5-011, J5-012, J5-015, J5-016", , , , , , 
 18, ,"J5-017, J5-018, J5-019, J5-020, J5-021", , , , , , 
 18, ,"J5-023, J5-024, J5-025, J5-026, J5-028", , , , , , 
 18, ,"J5-029, J5-032, J5-033, J5-034, J5-035", , , , , , 
 18, ,"J5-036, J5-037, J5-040, J5-041, J5-042", , , , , , 
 18, ,"J5-044, J5-045, J5-046, J5-047, J5-048", , , , , , 
 18, ,"J5-049, J5-050, J5-052, J7-033, J7-040", , , , , , 
 18, ,"J7-042, J7-044, J7-048, J7-050, J7-052", , , , , , 
 18, , , , , , , , 
 19, , J3-027, J7-055, , , , , Net NC: SHORT J3-027 to J7-055
 20, , J3-030, J7-021, , , , , Net NC: SHORT J3-030 to J7-021
 21, , J3-031, J7-020, , , , , Net NC: SHORT J3-031 to J7-020
 22, , J3-034,"J3-063, J3-064", , , , , Net NC: SHORT J3-034 to J3-063 J3-064
 23, , J3-035, J7-054, , , , , Net NC: SHORT J3-035 to J7-054
 24, , J3-043, J7-056, , , , , Net NC: SHORT J3-043 to J7-056
 25, , J3-046, J7-032, , , , , Net NC: SHORT J3-046 to J7-032
 26, , J3-060,"J3-062, J7-011, J7-013, J7-015, J7-017", , , , , Net NC: SHORT J3-060 to J3-062 J7-011 J7-013 J7-015 J7-017 J7-019 J7-027 J7-029 J7-031 J7-035 J7-037
 26, , ,"J7-019, J7-027, J7-029, J7-031, J7-035", , , , , 
 26, , , J7-037, , , , , 
 27, , J5-038, J7-023, , , , , Net NC: SHORT J5-038 to J7-023
 28, , J5-039, J7-018, , , , , Net NC: SHORT J5-039 to J7-018
 29, , J5-043,"J5-061, J5-063", , , , , Net NC: SHORT J5-043 to J5-061 J5-063
 30, , J7-001,"J7-003, J7-043, J7-045, J7-047, J7-049", , , , , Net NC: SHORT J7-001 to J7-003 J7-043 J7-045 J7-047 J7-049 J7-051 J7-053 J7-060 J7-062 J7-064
 30, , ,"J7-051, J7-053, J7-060, J7-062, J7-064", , , , , 
 30, , , , , , , , 
 31, , J7-004,"J7-006, J7-008, J7-010, J7-012, J7-014", , , , , Net NC: SHORT J7-004 to J7-006 J7-008 J7-010 J7-012 J7-014 J7-016 J7-024 J7-026 J7-028 J7-030 J7-034 J7-036
 31, , ,"J7-016, J7-024, J7-026, J7-028, J7-030", , , , , 
 31, , ,"J7-034, J7-036", , , , , 
 32, WIRE, J11-010,"J11-012, J13-007, J13-031", , , , , Net Net5: OPEN J11-010 to J11-012 J13-007 J13-031
 33, WIRE, J11-014,"J11-016, J11-028, J11-030, J11-032", , , , , Net Net6: OPEN J11-014 to J11-016 J11-028 J11-030 J11-032
 34, WIRE, J11-018,"J11-020, J15-031", , , , , Net Net7: OPEN J11-018 to J11-020 J15-031
 35, WIRE, J11-022,"J11-024, J11-034, J11-036, J11-045, J11-047", , , , , Net Net8: OPEN J11-022 to J11-024 J11-034 J11-036 J11-045 J11-047 J11-049 J11-051 J11-052
 35, , ,"J11-049, J11-051, J11-052", , , , , 
 36, WIRE, J11-026,"J11-055, J13-026, J15-013", , , , , Net Net9: OPEN J11-026 to J11-055 J13-026 J15-013
 37, WIRE, J11-056, J15-006, , , , , Net Net10: OPEN J11-056 to J15-006
 38, WIRE, J11-057,"J11-059, J11-062, J13-053, J13-054, J13-055", , , , , Net Net11: OPEN J11-057 to J11-059 J11-062 J13-053 J13-054 J13-055 J13-056 J13-057 J13-058 J13-059 J13-061 J15-051 J15-053 J15-0
 38, , ,"J13-056, J13-057, J13-058, J13-059, J13-061", , , , , 
 38, , ,"J15-051, J15-053, J15-054, J15-055, J15-056", , , , , 
 38, , ,"J15-057, J15-058, J15-059, J15-060, J15-062", , , , , 
 38, , , J15-064, , , , , 
