!CSV A.01.01
!Keysight Technologies,N5231B,MY58421610,A.17.35.05
!Date: Tuesday, August 13, 2024 16:27:41
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),Sdd22(DB),Sdd22(DEG),S11(DB),S11(DEG),S12(DB),S12(DEG),S13(DB),S13(DEG),S14(DB),S14(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG),S23(DB),S23(DEG),S24(DB),S24(DEG),S31(DB),S31(DEG),S32(DB),S32(DEG),S33(DB),S33(DEG),S34(DB),S34(DEG),S41(DB),S41(DEG),S42(DB),S42(DEG),S43(DB),S43(DEG),S44(DB),S44(DEG)
13486513,-15.464666,-13.792142,-14.153666,15.399384,-29.371328,30.513304,4.032783,-26.753775,-41.78548,179.12354,-29.416367,31.9389,-11.814318,58.595482,-41.54763,-173.79414,-2.9836206,-43.305321,4.0363932,-26.749428,-41.504124,-175.32903,-22.99572,16.26713,-33.562969,45.546169,-41.533112,-177.4794,-2.9828227,-43.5382,-33.517841,45.616013,-10.537239,-13.65211
26973026,-24.215071,-167.30803,-14.760035,1.662184,-26.783583,24.511463,3.5732191,-51.986015,-30.10284,-131.66109,-26.295248,25.657232,-7.7891784,68.859512,-37.832302,-162.73921,-5.7177587,-56.526299,3.5664439,-51.992523,-38.313316,-163.7869,-22.784712,4.4112325,-27.18026,30.63357,-30.348455,-134.34329,-5.845541,-56.894638,-27.219971,30.183081,-18.582232,174.36505
40459539,-15.057283,94.370827,-17.111609,-12.293021,-24.53133,4.8414054,3.2188799,-76.231407,-25.447678,155.67081,-24.225679,3.4961209,-7.162684,78.356857,-35.063515,151.70915,-5.223762,-68.842499,3.2103336,-76.208038,-35.404377,153.1745,-24.182835,-15.636247,-24.778387,-9.5881529,-25.780813,155.78418,-5.2798724,-68.6008,-24.845642,-9.0063305,-9.083684,85.594063
53946052,-18.789291,38.99395,-15.24333,-14.942907,-21.26697,-7.5401864,3.0411086,-101.4409,-23.820608,120.31383,-21.125656,-9.0507507,-7.843298,83.556793,-31.424004,143.12,-4.8620219,-89.673386,3.0337293,-101.38555,-31.574982,144.73296,-22.108839,-28.81275,-22.868362,-27.246338,-23.899429,121.53759,-4.9031029,-89.129707,-22.824671,-26.856373,-11.5203,26.137064
67432565,-23.861343,-101.01015,-12.800868,-41.636265,-19.13588,-25.635393,2.8113368,-125.78396,-25.556076,77.232224,-19.119089,-27.0254,-12.043647,93.725624,-30.155888,110.71041,-4.0429583,-107.60673,2.8058684,-125.69114,-30.181755,112.17951,-19.895206,-58.391956,-22.040327,-43.821918,-25.496037,78.529427,-4.0478196,-107.08888,-21.995134,-43.930859,-16.249685,-76.194603
80919078,-16.773724,-168.45387,-11.388706,-74.455956,-16.988794,-44.854393,2.5870116,-149.84464,-37.601463,42.077499,-17.043842,-45.215874,-19.479382,167.88025,-33.663441,99.887352,-2.3356738,-134.95178,2.5836504,-149.77513,-33.493881,101.30905,-18.409254,-90.625175,-21.26115,-60.336582,-37.188484,41.948914,-2.3279288,-134.7872,-21.261591,-60.546848,-13.29704,-155.88211
94405591,-16.439087,150.85796,-10.851383,-98.081985,-16.412687,-74.065933,2.4588623,-174.23395,-30.368662,86.442619,-16.429104,-74.571404,-11.301359,-173.52473,-31.039503,67.614342,-2.5547414,-158.81404,2.4634621,-174.12547,-31.03088,68.273354,-17.81352,-112.68279,-18.925133,-89.949776,-30.44907,84.739426,-2.5432034,-158.67844,-18.926693,-90.076523,-13.262583,169.62889
107892104,-29.483391,123.46226,-11.106542,-116.31734,-14.940145,-96.691177,2.3492556,161.19966,-22.312729,68.782547,-14.960811,-97.066788,-11.456544,-152.8905,-27.600096,63.815502,-2.648716,173.97275,2.3613727,161.28792,-27.570707,64.296761,-17.475536,-133.07666,-17.440922,-112.94404,-22.389534,68.820557,-2.6367033,174.10594,-17.456301,-112.99578,-19.488623,-118.3559
121378617,-27.267321,-103.2732,-11.31242,-135.15355,-13.749045,-132.59911,2.1142538,136.90744,-20.681719,19.529911,-13.747612,-132.66678,-13.787461,-106.54996,-23.987036,18.836149,-2.4538186,141.96489,2.1306202,136.9411,-23.972696,18.927454,-16.993624,-161.80751,-16.870722,-143.99588,-20.678984,19.554113,-2.440835,142.00993,-16.877625,-144.02402,-12.416065,-119.39278
134865130,-21.084839,-119.5183,-12.054896,-149.13672,-15.012197,-147.24008,2.1325116,113.70887,-20.973661,-18.511244,-15.030223,-147.62592,-8.306756,-107.49891,-25.726807,-4.506887,-3.0725203,125.02265,2.1466656,113.73748,-25.695715,-4.1288242,-17.57148,175.94666,-17.730452,-166.43266,-20.978624,-18.223888,-3.0506258,125.15179,-17.727392,-166.41414,-10.304557,-132.82452
