!CSV A.01.01
!Keysight Technologies,N5231B,MY58421610,A.17.35.05
!Date: Tuesday, August 13, 2024 16:42:49
!Source: Standard

BEGIN CH1_DATA
Time(s),Tdd11(REAL),Tdd11(IMAG),S11(REAL),S11(IMAG),S12(REAL),S12(IMAG),S13(REAL),S13(IMAG),S14(REAL),S14(IMAG),S21(REAL),S21(IMAG),S22(REAL),S22(IMAG),S23(REAL),S23(IMAG),S24(REAL),S24(IMAG),S31(REAL),S31(IMAG),S32(REAL),S32(IMAG),S33(REAL),S33(IMAG),S34(REAL),S34(IMAG),S41(REAL),S41(IMAG),S42(REAL),S42(IMAG),S43(REAL),S43(IMAG),S44(REAL),S44(IMAG)
0,0.04325198,0,0.050613433,0,0.0039371117,0,0.02516287,0,0.0025544695,0,0.0039334008,0,0.04374348,0,0.0025709022,0,-0.0068779206,0,0.025332252,0,0.0025646354,0,0.015458148,0,-0.0037354731,0,0.0025390633,0,-0.0069284365,0,-0.0037322172,0,0.12482253,0
1e-011,0.043263629,0,0.050583445,0,0.0039278409,0,0.025238827,0,0.0025870046,0,0.0039229132,0,0.043776277,0,0.0026059691,0,-0.0068638804,0,0.02540713,0,0.0025999798,0,0.015678547,0,-0.0038011195,0,0.0025728527,0,-0.0069126654,0,-0.0037979765,0,0.12551485,0
2e-011,0.043318469,0,0.050555207,0,0.0039091683,0,0.025315918,0,0.0026180183,0,0.0039037622,0,0.04387537,0,0.002644123,0,-0.0068541616,0,0.025483083,0,0.0026400832,0,0.015935736,0,-0.0038221471,0,0.0026057137,0,-0.0069011259,0,-0.0038187725,0,0.12594737,0
3e-011,0.043434281,0,0.050559204,0,0.0038899467,0,0.025395511,0,0.0026479743,0,0.003884671,0,0.044063371,0,0.002678622,0,-0.0068456945,0,0.025561716,0,0.002677609,0,0.016143551,0,-0.0037788735,0,0.0026378876,0,-0.0068913149,0,-0.003774836,0,0.1259408,0
4e-011,0.043605499,0,0.050605293,0,0.003879115,0,0.025478562,0,0.0026785857,0,0.0038743129,0,0.044337008,0,0.0027054141,0,-0.0068344558,0,0.025643928,0,0.0027075154,0,0.016231356,0,-0.0036949615,0,0.0026707933,0,-0.0068796268,0,-0.003690073,0,0.12548734,0
5e-011,0.043803003,0,0.050681069,0,0.003879654,0,0.025563102,0,0.0027115454,0,0.0038753289,0,0.04465631,0,0.0027259907,0,-0.0068180314,0,0.025727568,0,0.0027304047,0,0.016186357,0,-0.0036215885,0,0.0027058874,0,-0.0068635573,0,-0.0036160767,0,0.12475245,0
6e-011,0.043986555,0,0.050762147,0,0.0038866191,0,0.025647761,0,0.0027472982,0,0.0038825567,0,0.044955272,0,0.002746494,0,-0.0067969579,0,0.025811687,0,0.0027520382,0,0.016065083,0,-0.0036027876,0,0.0027435115,0,-0.0068432265,0,-0.0035972272,0,0.12398621,0
7e-011,0.044123434,0,0.050826982,0,0.0038903442,0,0.025730753,0,0.0027846994,0,0.0038864263,0,0.045171,0,0.0027736453,0,-0.0067742751,0,0.025894374,0,0.0027793504,0,0.01596451,0,-0.0036455928,0,0.0027825159,0,-0.006821584,0,-0.0036406105,0,0.12339775,0
8e-011,0.044202987,0,0.050867073,0,0.0038830498,0,0.025813147,0,0.0028217973,0,0.0038794219,0,0.045275472,0,0.0028101704,0,-0.0067534102,0,0.025976824,0,0.0028156769,0,0.015968218,0,-0.0037152215,0,0.0028209223,0,-0.0068012527,0,-0.0037110685,0,0.1230658,0
9e-011,0.044238634,0,0.050887603,0,0.0038640357,0,0.025895186,0,0.0028571733,0,0.0038611863,0,0.045289196,0,0.0028528443,0,-0.0067359428,0,0.026059749,0,0.0028583456,0,0.016099278,0,-0.0037586212,0,0.0028572246,0,-0.0067840512,0,-0.0037550302,0,0.12293261,0
1e-010,0.044256583,0,0.050900202,0,0.0038402448,0,0.025979726,0,0.002891002,0,0.0038388588,0,0.045266669,0,0.0028945438,0,-0.0067206211,0,0.026145238,0,0.002900392,0,0.016307931,0,-0.0037406012,0,0.0028913417,0,-0.0067687565,0,-0.0037368056,0,0.12287495,0
1.1e-010,0.044278353,0,0.050914057,0,0.0038216207,0,0.02606695,0,0.0029249908,0,0.0038221574,0,0.045260977,0,0.0029290058,0,-0.0067045847,0,0.026233647,0,0.0029352149,0,0.016501136,0,-0.0036679183,0,0.0029246956,0,-0.0067523299,0,-0.0036630267,0,0.12279965,0
1.2e-010,0.044307988,0,0.050931606,0,0.0038143925,0,0.026156019,0,0.0029613022,0,0.0038168235,0,0.045289483,0,0.0029550428,0,-0.0066849119,0,0.026324561,0,0.00296103,0,0.016595693,0,-0.0035849293,0,0.0029592442,0,-0.006731939,0,-0.0035782852,0,0.12270001,0
